step,reward,actual_inspection_rate,target_sampling_rate,attack_intensity,fpr,fnr,avg_sq,tp,tn,fp,fn
1,-2.0,1.0,1.0,0.013,0.0,0.0,234.539,13,987,0,0
2,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
3,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
4,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
5,-2.0,1.0,1.0,0.014,0.0,0.0,237.042,14,986,0,0
6,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
7,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
8,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
9,-2.0,1.0,1.0,0.018,0.0,0.0,247.054,18,982,0,0
10,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
11,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
12,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
13,-2.0,1.0,1.0,0.006,0.0,0.0,217.018,6,994,0,0
14,-2.0,1.0,1.0,0.014,0.0,0.0,237.042,14,986,0,0
15,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
16,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
17,-2.0,1.0,1.0,0.016,0.0,0.0,242.048,16,984,0,0
18,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
19,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
20,-2.0,1.0,1.0,0.007,0.0,0.0,219.521,7,993,0,0
21,-2.0,1.0,1.0,0.007,0.0,0.0,219.521,7,993,0,0
22,-2.0,1.0,1.0,0.006,0.0,0.0,217.018,6,994,0,0
23,-2.0,1.0,1.0,0.014,0.0,0.0,237.042,14,986,0,0
24,-2.0,1.0,1.0,0.016,0.0,0.0,242.048,16,984,0,0
25,-2.0,1.0,1.0,0.015,0.0,0.0,239.545,15,985,0,0
26,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
27,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
28,-2.0,1.0,1.0,0.007,0.0,0.0,219.521,7,993,0,0
29,-2.0,1.0,1.0,0.004,0.0,0.0,212.012,4,996,0,0
30,-2.0,1.0,1.0,0.015,0.0,0.0,239.545,15,985,0,0
31,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
32,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
33,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
34,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
35,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
36,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
37,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
38,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
39,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
40,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
41,-2.0,1.0,1.0,0.013,0.0,0.0,234.539,13,987,0,0
42,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
43,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
44,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
45,-2.0,1.0,1.0,0.007,0.0,0.0,219.521,7,993,0,0
46,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
47,-2.0,1.0,1.0,0.005,0.0,0.0,214.515,5,995,0,0
48,-2.0,1.0,1.0,0.006,0.0,0.0,217.018,6,994,0,0
49,-2.0,1.0,1.0,0.007,0.0,0.0,219.521,7,993,0,0
50,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
51,-2.0,1.0,1.0,0.003,0.0,0.0,209.509,3,997,0,0
52,-2.0,1.0,1.0,0.019,0.0,0.0,249.557,19,981,0,0
53,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
54,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
55,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
56,-2.0,1.0,1.0,0.019,0.0,0.0,249.557,19,981,0,0
57,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
58,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
59,-2.0,1.0,1.0,0.013,0.0,0.0,234.539,13,987,0,0
60,-2.0,1.0,1.0,0.006,0.0,0.0,217.018,6,994,0,0
61,-2.0,1.0,1.0,0.018,0.0,0.0,247.054,18,982,0,0
62,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
63,-2.0,1.0,1.0,0.016,0.0,0.0,242.048,16,984,0,0
64,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
65,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
66,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
67,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
68,-2.0,1.0,1.0,0.005,0.0,0.0,214.515,5,995,0,0
69,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
70,-2.0,1.0,1.0,0.009,0.0,0.0,224.527,9,991,0,0
71,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
72,-2.0,1.0,1.0,0.008,0.0,0.0,222.024,8,992,0,0
73,-2.0,1.0,1.0,0.011,0.0,0.0,229.533,11,989,0,0
74,-2.0,1.0,1.0,0.01,0.0,0.0,227.03,10,990,0,0
75,-2.0,1.0,1.0,0.012,0.0,0.0,232.036,12,988,0,0
